ENTIDAD	NOM_ENT	MUN	NOM_MUN	LOC	NOM_LOC	LONGITUD	LATITUD	ALTITUD	P_TOTAL	P_MAS	P_FEM	P_0A4_AN	P_0A4_MA	P_0A4_FE	P_0A14_A	P_0A14_MA	P_0A14_FE	P_5_AN	P_5YMAS	P_5YMAS_M	P_5YMAS_F	P_6A11_AN	P_6A14_AN	P_6A14_M	P_6A14_F	P_12A14_AN	P_12YMAS	P_15YMAS	P_15YMAS_M	P_15YMAS_F	P_15A24	P_F_15A49	P_15A59	P_15A59_M	P_15A59_F	P_18YMAS	P_M_18YMAS	P_F_18YMAS	P_60YMAS	P_M_60YMAS	P_F_60YMAS	P_65YMAS	P_65YMAS_M	P_65YMAS_F	REL_H_M	PROM_HNV	P_RE2000	P_OE2000	P_M_OE2000	P_F_OE2000	P_EU2000	P_SINDER	P_DERE	P_IMSS	P_ISSSTE	P_SEGPOP	P_8A14AN	P_M_8A14AN	P_F_8A14AN	P_15MAAN	P_M_15MAAN	P_F_15MAAN	P_5_NOAE	P_M_5_NOAE	P_F_5_NOAE	P_6A11_NOA	P6A14NOA	PM_6A14NOA	PF_6A14NOA	P12A14_NOA	P_15A24A	P_M_15A24A	P_F_15A24A	P15YMASE	PM_15YMASE	PF_15YMASE	P15YM_EBIN	PM15YMEBIN	PF15YMEBIN	P15YM_EBC	PM15YM_EBC	PF15YM_EBC	P15YMAPB	PM_15YMAPB	PF_15YMAPB	GRAPROES	GRADOES_M	GRADOES_F	P5YMAHLI	P5YMAHLI_M	P5YMAHLI_F	P5YMALINE	PM5YMALINE	PF5YMALINE	P5YMALIES	PMYMALIES	PFYMALIES	P_HOG_IND	TOT_HOG	HOGAR_JM	HOGAR_JF	P_HOGAR	P_HOG_JM	P_HOG_JF	T_VIVHAB	VIVPARHA	O_VIVPAR	PRO_VIPA	PRO_C_VP	VPH_PIDT	VPH_CON_PT	VPH_1DOR	VPH_2YMASD	VPH_1CUA	VPH_2CUA	VPH_3YMASC	VPH_EXCSA	VPH_AGDV	VPH_NOAG	VPH_DREN	VPH_NODREN	VPH_ENEL	VPH_DREE	VPH_NADE	VPH_SBIE	VPH_TV	VPH_REFR	VPH_LAVA	VPH_PC	
01	Aguascalientes	001	Aguascalientes	0139	Cieneguilla (La Lumbrera)	1022713   	214356    	1800      	853	399	454	94	46	48	315	147	168	20	753	350	403	128	201	95	106	73	605	532	249	283	143	206	441	202	239	476	231	245	91	47	44	66	35	31	87.89	3.46	742	1	1	0	6	549	298	185	14	99	6	3	3	62	33	29	1	0	1	2	23	6	17	21	7	0	7	45	20	25	393	198	195	83	27	56	11	4	7	5.09	4.72	5.41	1	0	1	0	0	0	1	0	1	0	186	155	31	853	734	119	182	182	853	4.69	1.30	174	6	61	119	7	27	146	167	173	6	171	9	177	167	1	5	166	131	142	0	
01	Aguascalientes	001	Aguascalientes	0141	Cobos	1021408   	214931    	1960      	9	5	4	0	0	0	2	2	0	1	9	5	4	1	1	1	0	0	7	7	3	4	0	2	4	1	3	7	3	4	3	2	1	2	1	1	125	3.50	9	0	0	0	0	0	9	2	0	7	0	0	0	4	1	3	0	0	0	0	0	0	0	0	0	0	0	3	1	2	2	1	1	1	0	1	1	1	0	3.29	4.33	2.50	0	0	0	0	0	0	0	0	0	0	3	3	0	9	9	0	3	3	9	3	1	3	0	1	2	0	0	3	3	1	2	1	2	2	0	0	1	2	1	1	0	
01	Aguascalientes	001	Aguascalientes	0144	El Colorado (El Soyatal)	1021006   	215416    	2020      	332	152	180	53	30	23	145	68	77	6	276	120	156	55	86	35	51	31	215	184	82	102	43	82	165	71	94	168	79	89	19	11	8	14	8	6	84.44	2.94	273	0	0	0	0	47	281	35	0	246	1	0	1	6	2	4	0	0	0	2	4	2	2	2	6	1	5	3	0	3	138	71	67	36	9	27	5	1	4	5.78	5.21	6.24	2	1	1	0	0	0	1	0	1	1	73	67	6	332	314	18	73	73	332	4.55	1.34	72	1	24	49	3	9	61	69	67	6	70	3	73	66	0	0	73	68	63	0	
01	Aguascalientes	001	Aguascalientes	0146	El Conejal	1021224   	215501    	1960      	676	336	340	104	52	52	254	123	131	15	572	284	288	88	135	67	68	47	469	422	213	209	131	168	385	191	194	385	194	191	37	22	15	24	14	10	98.82	3.78	564	0	0	0	1	204	471	140	8	323	3	3	0	19	12	7	0	0	0	1	4	4	0	3	23	10	13	14	9	5	288	150	138	76	37	39	40	15	25	6.30	6.02	6.57	0	0	0	0	0	0	0	0	0	0	149	141	8	676	653	23	149	149	676	4.54	1.29	146	2	66	82	6	31	111	138	142	5	142	5	147	138	0	1	146	142	121	2	
01	Aguascalientes	001	Aguascalientes	0157	Cotorina de Abajo	1021559   	214525    	1900      	55	23	32	9	5	4	21	8	13	3	46	18	28	7	9	1	8	2	36	34	15	19	6	14	27	11	16	33	15	18	7	4	3	5	3	2	71.88	2.52	44	2	1	1	0	17	38	32	3	6	0	0	0	7	1	6	0	0	0	0	0	0	0	0	2	1	1	6	1	5	15	7	8	9	5	4	4	2	2	5.68	6.07	5.37	0	0	0	0	0	0	0	0	0	0	13	12	1	55	52	3	13	13	55	4.23	1.22	13	0	6	7	0	3	10	6	5	7	6	7	12	3	0	0	13	10	9	1	
01	Aguascalientes	001	Aguascalientes	0162	Coyotes	1022029   	215206    	1860      	168	85	83	16	10	6	43	22	21	2	114	56	58	18	25	11	14	7	94	87	44	43	28	35	77	39	38	78	39	39	10	5	5	9	5	4	102.41	3.43	109	3	2	1	2	56	74	61	2	11	0	0	0	15	7	8	0	0	0	0	3	2	1	3	5	2	3	12	6	6	50	25	25	15	10	5	5	1	4	5.19	5.19	5.18	0	0	0	0	0	0	0	0	0	0	28	22	6	130	107	23	37	37	168	4.54	1.26	27	1	8	20	2	5	21	26	28	0	27	0	28	27	0	1	26	26	22	2	
01	Aguascalientes	001	Aguascalientes	0166	La Huerta (La Cruz)	1022653   	214115    	1820      	10	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	2	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	
01	Aguascalientes	001	Aguascalientes	0170	Cuauhtémoc (Las Palomas)	1022101   	214520    	1800      	322	176	146	38	22	16	122	71	51	6	284	154	130	50	78	44	34	28	228	200	105	95	50	72	160	81	79	185	99	86	40	24	16	34	21	13	120.55	5.11	275	9	6	3	0	144	178	104	4	72	0	0	0	18	7	11	0	0	0	2	7	1	6	5	5	0	5	28	17	11	115	65	50	48	20	28	8	2	6	5.50	5.12	5.93	0	0	0	0	0	0	0	0	0	0	70	63	7	322	294	28	69	69	322	4.67	1.40	68	0	20	48	3	11	54	62	64	3	59	9	65	58	1	1	66	58	47	1	
01	Aguascalientes	001	Aguascalientes	0171	Los Cuervos (Los Ojos de Agua)	1020939   	214351    	1960      	279	122	157	29	11	18	84	37	47	7	250	111	139	32	48	22	26	16	211	195	85	110	47	73	158	68	90	178	77	101	37	17	20	22	10	12	77.71	3.33	234	16	6	10	0	106	173	39	9	125	1	0	1	27	13	14	0	0	0	1	2	1	1	1	13	5	8	40	19	21	79	33	46	46	18	28	30	15	15	5.58	5.48	5.66	3	3	0	0	0	0	3	3	0	4	67	59	8	279	258	21	64	64	279	4.36	1.13	63	1	22	42	0	9	55	63	61	3	62	2	61	58	0	2	62	59	50	2	
01	Aguascalientes	001	Aguascalientes	0172	Granja San José	1022258   	215155    	1900      	8	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	1	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	
